Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t7,2-0,1,1--,2(1-0) 1P>S,O,MIN,H. Blanco,M. Mussina,-3%,78%,Cuddyer Caught Stealing 2B (C-2B)
t7,2-0,2,---,5(2-2) 1P>S.BSS,O,MIN,H. Blanco,M. Mussina,-1%,77%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Twins 2 Yankees 0.,0 runs 1 hit 0 errors 0 LOB. Twins 2 Yankees 0.,0 runs 1 hit 0 errors 0 LOB. Twins 2 Yankees 0.
Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9,Bottom of the 7th Yankees Batting Behind 0-2 Twins' Johan Santana facing 7-8-9
b7,0-2,0,---,5(2-2) CBFBS,O,NYY,R. Sierra,J. Santana,4%,81%,Strikeout Swinging
b7,0-2,1,---,1(0-0) X,O,NYY,J. Olerud,J. Santana,3%,84%,Flyball: LF
b7,0-2,2,---,4(2-1) BBCX,,NYY,M. Cairo,J. Santana,-4%,80%,Double to LF (Fly Ball)
b7,0-2,2,-2-,5(1-2) BCFFX,O,NYY,D. Jeter,J. Santana,5%,85%,Groundout: SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Twins 2 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 2 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 2 Yankees 0.
Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3,Top of the 8th Twins Batting Ahead 2-0 Yankees' Tom Gordon facing 1-2-3
,,,,,,,,,Tom Gordon replaces Mike Mussina pitching,Tom Gordon replaces Mike Mussina pitching,Tom Gordon replaces Mike Mussina pitching
t8,2-0,0,---,4(1-2) .FBFX,O,MIN,S. Stewart,T. Gordon,-1%,84%,Groundout: 2B-1B
t8,2-0,1,---,3(1-1) FBX,O,MIN,J. Jones,T. Gordon,-1%,83%,Flyball: LF
t8,2-0,2,---,4(1-2) TSBX,O,MIN,T. Hunter,T. Gordon,-1%,82%,Lineout: RF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Twins 2 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Yankees 0.,0 runs 0 hits 0 errors 0 LOB. Twins 2 Yankees 0.
